안나바, 알제리	라바 비타트 공항	AAE
렌, 프랑스	Rennes-St Jacques	RNS
렌, 프랑스	렌 생자크공항	RNS
로어노크, VA, 미국	Roanoke Mnpl	ROA
로어노크, VA, 미국	로어노크지역공항	ROA
로어노크, VA, 미국	Woodrum Field	ROA
몬로비아, LBR	로버츠 국제공항	ROB
몬로비아, 라이베리아	로버츠 국제공항	ROB
로체스터, 뉴욕주, 미국	그레이터로체스터국제공항	ROC
로이엣, 태국	로이엣 에어포트	ROI
록햄프턴, QLD, 호주	Rockhampton	ROK
록햄프턴, QLD, 호주	록햄프턴공항	ROK
로마, 이탈리아	모든 공항	ROM
혼도노폴리스, 브라질	론도노폴리스 에어포트	ROO
Sinapalu, 북마리아나제도	로타 국제공항	ROP
Sinapalu, 북마리아나제도	Rota	ROP
Koror, Palau	Airai	ROR
코로르, Palau	코로르공항	ROR
코로르, PLW	코로르공항	ROR
코로르, 팔라우	Airai	ROR
코로르, 팔라우	코로르공항	ROR
로사리오, 아르헨티나	Fisherton	ROS
로사리오, 아르헨티나	로자리오이즐라스말비나스국제공항	ROS
로터루아, 뉴질랜드	로터루아공항	ROT
로스토프나도누, 러시아	Rostov	ROV
로스토프나도누, 러시아	로스토프나도누공항	ROV
로즈웰, NM, 미국	로스웰 인터내셔널 에어 센터 에어포트	ROW
라이푸르, 인도	Raipur	RPR
라이푸르, 인도	라이푸르공항	RPR
Ruoqiang, 중국	Loulan	RQA
라타니에-몽 뤼뱅, 모리셔스	Rodrigues Is	RRG
라타니에-몽 뤼뱅, 모리셔스	서 개탄 듀발 에어포트	RRG
Garumaoa, 프랑스령 폴리네시아	Raroia	RRR
Reoros, Norway	Roros	RRS
뢰로스, 노르웨이	Roros	RRS
뢰로스, 노르웨이	로로스공항	RRS
Santa Rosa (La Pampa), Argentina	Santa Rosa	RSA
산타로사, 아르헨티나	산타로사 에어포트	RSA
록 사운드, 바하마	S Eleuthera	RSD
록 사운드, 바하마	록 사운드 국제공항	RSD
Russian Mission, AK, 미국	러시안 미션 에어포트	RSH
Rosario, WA, 미국	Rosario SPB	RSJ
로체스터, MN, 미국	Rochester	RST
로체스터, MN, 미국	로체스터 국제공항	RST
Yosu, South Korea	Yeosu	RSU
여수, 대한민국	여수 공항	RSU
여수, 대한민국	Yeosu	RSU
Fort Myers, FL	SW Florida Intl	RSW
포트마이어스, FL, 미국	사우스웨스트 플로리다국제공항	RSW
포트마이어스, FL, 미국	Southwest Florida Intl	RSW
로투마 아일랜드, 피지	로투마 에어포트	RTA
Coxen Hole, Honduras	Roatan	RTB
로아탄섬, 온두라스	Juan Manuel Gálvez Intl	RTB
로아탄섬, 온두라스	Roatan	RTB
로아탄섬, 온두라스	후안 마누엘 갈베스 국제공항	RTB
Roti, 인도네시아	Roti	RTI
로테르담, 네덜란드	Rotterdam The Hague	RTM
로테르담, 네덜란드	로테르담-헤이그공항	RTM
사라토프, 러시아	사라토프 첸트랄니 에어포트	RTW
사라토프, 러시아	Saratov	RTW
아루아, 우간다	Arua	RUA
아루아, 우간다	아루아 에어포트	RUA
Riyadh, Saudi Arabia	King Khaled Intl	RUH
리야드, 사우디아라비아	King Khaled Intl	RUH
리야드, 사우디아라비아	킹칼리드국제공항	RUH
Saint-Denis, Réunion	Gillot	RUN
상드니, REU	길로트공항	RUN
상드니, 레위니옹	Gillot	RUN
상드니, 레위니옹	Roland Garros	RUN
상드니, 레위니옹	길로트공항	RUN
Moerai, 프랑스령 폴리네시아	Rurutu	RUR
Ione, SLB	마라우 에어포트	RUS
Ione, 솔로몬제도	마라우 에어포트	RUS
러틀랜드, VT, 미국	러틀랜드 서던 버몬트 리저널공항	RUT
리오 베르데, 브라질	히우베르지 에어포트	RVD
사라베나, 콜롬비아	로스 콜로니사도레스 에어포트	RVE
Roervik, Norway	Ryumsjoen Aprt	RVK
Rorvik, Norway	Ryumsjoen Aprt	RVK
로르비크, 노르웨이	Ryumsjoen Aprt	RVK
로르비크, 노르웨이	로르비크 에어포트	RVK
로바니에미, Finland	로바니에미공항	RVN
로바니에미, 핀란드	Rovaniemi	RVN
로바니에미, 핀란드	로바니에미공항	RVN
그린강, UT, 미국	그린 리버 뮤니시플 에어포트	RVR
레이븐스쏘프, WA, 호주	Ravensthorpe	RVT
레이븐스쏘프, WA, 호주	레이븐스소프 에어포트	RVT
Rairua, 프랑스령 폴리네시아	Raivavae	RVV
로하스 시티, 필리핀	Roxas City	RXS
로하스 시티, 필리핀	로하스 에어포트	RXS
모스 공항	오슬로, 노르웨이	RYG
라힘 야르 칸, 파키스탄	Rahim Yar Khan	RYK
라힘 야르 칸, 파키스탄	셰이크 자이드 국제공항	RYK
Mafuta, 잠비아	Royal Airstrip	RYL
제슈프, 폴란드	Jasionka	RZE
제슈프, 폴란드	제슈프 야시온카 공항	RZE
Ramsar, 이란	Ramsar	RZR
Saba Island, Bonaire, Sint Eustatius and Saba	Juancho E. Yrausquin	SAB
사바, 보나이러	Juancho E. Yrausquin	SAB
사바, 보나이러	후안초 E. 이라우스퀸 공항	SAB
샌타페, NM, 미국	산타페 뮤니시플 에어포트	SAF
쉬르디, 인도	Shirdi	SAG
사나, Yemen	사나 국제공항	SAH
사나, 예멘	사나 국제공항	SAH
산살바도르, SLV	코말라파국제공항	SAL
산살바도르, 엘살바도르	Aeropuerto Internacional El Salvador	SAL
산살바도르, 엘살바도르	Monseñor Óscar Arnulfo Romero Intl	SAL
산살바도르, 엘살바도르	Comalapa Intl	SAL
산살바도르, 엘살바도르	코말라파국제공항	SAL
샌디에이고, CA, 미국	San Diego	SAN
샌디에이고, CA, 미국	Lindbergh Field	SAN
샌디에이고, CA, 미국	샌디에이고국제공항	SAN
상파울루, 브라질	모든 공항	SAO
산페드로술라, 온두라스	La Mesa Intl	SAP
산페드로술라, 온두라스	San Pedro Sula	SAP
산페드로술라, 온두라스	Ramon Villeda	SAP
산페드로술라, 온두라스	라몬 비예다 모랄레스 국제공항	SAP
샌안토니오, TX, 미국	샌안토니오국제공항	SAT
서배너, GA, 미국	Savannah/Hilton Head	SAV
서배너, GA, 미국	서배너/힐튼 헤드 국제공항	SAV
사비하괵첸국제공항	이스탄불, 터키	SAW
이스탄불, 터키	Sabiha Gokcen	SAW
이스탄불, 터키	사비하괵첸국제공항	SAW
샌타바버라, CA, 미국	산타바바라공항	SBA
샌버너디노, CA, 미국	샌버너디노국제공항	SBD
사방, 인도네시아	Sabang	SBG
구스타비아, BLM	구스타프 3세 공항	SBH
구스타비아, 생바르텔르미	Gustaf III	SBH
구스타비아, 생바르텔르미	구스타프 3세 공항	SBH
사우스벤드, IN, 미국	South Bend/Michiana	SBN
사우스벤드, IN, 미국	사우스밴드지역공항	SBN
San Luis Obispo, CA	County	SBP
샌루이스오비스포, CA, 미국	County	SBP
샌루이스오비스포, CA, 미국	샌루이스오비스포 카운티 리저널공항	SBP
시부, 말레이시아	시부 공항	SBW
시부, 말레이시아	Sibu	SBW
솔즈베리, 메릴랜드주, 미국	Wicomico Cnty	SBY
솔즈베리, 메릴랜드주, 미국	Salisbury-Ocean City	SBY
솔즈베리, 메릴랜드주, 미국	위코미코지역공항	SBY
시비우, 루마니아	시비우 국제공항	SBZ
시비우, 루마니아	Sibiu	SBZ
프루도 베이, AK, 미국	Prudhoe Bay/Deadhorse	SCC
프루도 베이, AK, 미국	데드호스 에어포트	SCC
스테이트칼리지, PA, 미국	주립칼리지공항	SCE
스테이트칼리지, PA, 미국	University Park	SCE
스톡턴, CA, 미국	스톡튼메트로폴리탄공항	SCK
Providencia, Chile	Arturo Merino Benitez	SCL
Vitacura, Chile	Arturo Merino Benitez	SCL
산티아고, CHL	산티아고국제공항	SCL
산티아고, 칠레	Arturo Merino Benitez	SCL
산티아고, 칠레	Comodoro Arturo Merino Benitez Intl	SCL
산티아고, 칠레	Santiago	SCL
산티아고, 칠레	산티아고국제공항	SCL
Scammon Bay, AK, 미국	스캐먼 베이 에어포트	SCM
사르브루켄, 독일	Ensheim	SCN
사르브루켄, 독일	Saarbrücken	SCN
사르브루켄, 독일	사르브뤼켄공항	SCN
아크타우, 카자흐스탄	Aktau	SCO
아크타우, 카자흐스탄	악타우 공항	SCO
산티아고 데 콤포스텔라, 스페인	산티아고데콤포스텔라공항	SCQ
살렌, 스웨덴	Scandinavian Mountains	SCR
살렌, 스웨덴	Sälen Trysil	SCR
스카스타 에어포트	러윅, 영국	SCS
Santiago de Cuba, 쿠바	Antonio Maceo	SCU
수체아바, 루마니아	Suceava Ștefan cel Mare Intl	SCV
수체아바, 루마니아	수체아바 에어포트	SCV
수체아바, 루마니아	Suceava	SCV
식팁카르, 러시아	식팁카르 에어포트	SCW
식팁카르, 러시아	Syktyvkar	SCW
산크리스토발, 에콰도르	San Cristobal	SCY
산크리스토발, 에콰도르	산크리스토발공항	SCY
Nendo Island, 솔로몬제도	산타크루스/그라시오사 베이/루오바 에어포트	SCZ
루방구, 앙골라	루방고 공항	SDD
산티아고델 에스테로, 아르헨티나	Santiago del Estero	SDE
산티아고델 에스테로, 아르헨티나	Vicecomodoro Ángel de la Paz Aragonés	SDE
산티아고델 에스테로, 아르헨티나	비체코모도로안헬데라파즈아라고네스공항	SDE
루이빌, KY, 미국	루이빌국제공항	SDF
루이빌, KY, 미국	Standiford Field	SDF
Sanandaj, 이란	Sanandaj	SDG
센다이, 일본	센다이 공항	SDJ
센다이, 일본	Sendai	SDJ
산다칸, 말레이시아	산다칸공항	SDK
순스발, 스웨덴	Midlanda	SDL
순스발, 스웨덴	순스발하노산공항	SDL
순스발, 스웨덴	Sundsvall Timra	SDL
산다네, 노르웨이	산다네 에어포트 안다	SDN
Sand Point, AK, 미국	샌드 포인트 에어포트	SDP
Distrito Nacional, Dominican Republic	Las Americas	SDQ
산토도밍고, Dominican Republic	라스아메리카스국제공항	SDQ
산토도밍고, 도미니카공화국	Las Americas	SDQ
산토도밍고, 도미니카공화국	라스아메리카스국제공항	SDQ
산탄데르, 스페인	산탄데르 에어포트	SDR
Rio de Janeiro, Brazil	Santos Dumont	SDU
리우데자네이루, 브라질	Santos Dumont	SDU
리우데자네이루, 브라질	산투스두몽공항	SDU
산투스두몽공항	리우데자네이루, 브라질	SDU
Tel Aviv Yafo, Israel	Sde Dov	SDV
Tel Aviv, Israel	Sde Dov	SDV
Tel Aviv-Jaffa, Israel	Sde Dov	SDV
텔아비브, Israel	스데 도브 에어포트	SDV
텔아비브, 이스라엘	Sde Dov	SDV
텔아비브, 이스라엘	Dov Hoz	SDV
텔아비브, 이스라엘	스데 도브 에어포트	SDV
Sidney, MT	Richland Municipal	SDY
시드니, MT, 미국	Richland Mncpl	SDY
시드니, MT, 미국	Richland Municipal	SDY
시드니, MT, 미국	시드니리치랜드시립공항	SDY
Lerwick, United Kingdom	All Airports	SDZ
러윅, 영국	All Airports	SDZ
시애틀, WA, 미국	모든 공항	SEA
시애틀, WA, 미국	Seattle-Tacoma Intl	SEA
Sabhā, Libya	Sebha	SEB
세바, 리비아	사바 에어포트	SEB
Srednekolymsk, 러시아	Srednekolymsk	SEK
Seoul, South Korea	All airports	SEL
서울, 대한민국	모든 공항	SEL
런던, 영국	사우스엔드공항	SEN
런던, 영국	Southend	SEN
Seronera, 탄자니아	Seronera	SEU
Cerf Island, Seychelles	Seychelles Intl	SEZ
Mont Fleuri, Seychelles	Seychelles Intl	SEZ
Victoria, Seychelles	Seychelles Intl	SEZ
빅토리아, SYC	세이셸국제공항	SEZ
빅토리아, 세이셸	Seychelles Intl	SEZ
빅토리아, 세이셸	세이셸국제공항	SEZ
스팍스, 튀니지	Sfax El Maou	SFA
스팍스, 튀니지	티나 국제공항	SFA
올랜도 샌퍼드 국제공항	올랜도, FL, 미국	SFB
올랜도, FL, 미국	C. Florida	SFB
올랜도, FL, 미국	올랜도 샌퍼드 국제공항	SFB
Happy Bay, Saint Martin	L'Espérance	SFG
그렁-카스, 세인트마틴 섬	레스페랑스 에어포트	SFG
San Felipe (Oaxaca), Mexico	San Felipe	SFH
산펠리페, 멕시코	San Felipe	SFH
산펠리페, 멕시코	산펠리페 인터내셔널 에어포트	SFH
칸제를루수아크, 그린란드	캉에를루수아크 공항	SFJ
산펠리페, 카보베르데	São Filipe	SFL
산펠리페, 카보베르데	산펠리페 에어포트	SFL
산타페, 아르헨티나	Sauce Viejo	SFN
산타페, 아르헨티나	사우세비에호공항	SFN
샌프란시스코, CA, 미국	San Francisco	SFO
샌프란시스코, CA, 미국	샌프란시스코국제공항	SFO
스켈레프테아, 스웨덴	스켈레피테공항	SFT
스켈레프테아, 스웨덴	Skelleftea	SFT
스프링필드, MA, 미국	모든 공항	SFY
수르구트, 러시아	수르구트 인터내셔널 에어포트	SGC
Soenderborg, Denmark	Sonderborg	SGD
손더보그, 덴마크	손데보그공항	SGD
스프링필드, MO, 미국	스프링필드브랜슨국립공항	SGF
스프링필드, MO, 미국	Springfield-Branson	SGF
Saigon, Vietnam	Ho Chi Minh City	SGN
호치민, 베트남	Tan Son Nhat	SGN
호치민, 베트남	떤선녓국제공항	SGN
세인트 조지, QLD, 호주	St 조지 에어포트 퀸즐랜드	SGO
세인트조지, UT, 미국	세인트조지시립공항	SGU
Songea, 탄자니아	Songea	SGX
스캐그웨이, AK, 미국	스카그웨이공항	SGY
스캐그웨이, AK, 미국	Skagway	SGY
상하이, 중국	Hongqiao Intl	SHA
상하이, 중국	모든 공항	SHA
나카시베쓰, 일본	Nakashibetsu	SHB
나카시베쓰, 일본	나카시베쓰공항	SHB
Indaselassie, 에티오피아	Indaselassie	SHC
스톤턴, VA, 미국	쉐난도밸리지역공항	SHD
선양, 중국	타오셴국제공항	SHE
Shungnak, AK, 미국	셩그나크 에어포트	SHG
Shishmaref, AK, 미국	시시마레프 에어포트	SHH
샤르자, 아랍에미리트	샤르자 국제공항	SHJ
실롱, 인도	실롱 에어포트	SHL
시라하마, 일본	난키 시라하마 공항	SHM
만지니, Eswatini	King Mswati III Intl	SHO
만지니, SWZ	King Mswati III Intl	SHO
만지니, 에스와티니	King Mswati III Intl	SHO
만지니, 에스와티니	Sikhuphe	SHO
셰리든, WY, 미국	세리던카운티공항	SHR
슈리브포트, LA, 미국	Shreveport	SHV
슈리브포트, LA, 미국	슈리브포트공항	SHV
Sharurah, 사우디아라비아	샤루라 도메스틱 에어포트	SHW
Shageluk, AK, 미국	샤겔룩 에어포트	SHX
산호세 아일랜드, 파나마	San Jose Island	SIC
Espargos, Cape Verde	Amilcar Cabral Intl	SID
에스파르고스, 카보베르데	Amilcar Cabral Intl	SID
에스파르고스, 카보베르데	아밀카르 카브랄 국제공항	SID
산후안, 푸에르토리코	페르난도리바스도미니치공항	SIG
싱가포르, SGP	창이국제공항	SIN
싱가포르, 싱가포르	Changi	SIN
싱가포르, 싱가포르	창이국제공항	SIN
심페로폴,	심페로폴국제공항	SIP
Sishen, 남아프리카공화국	Sishen	SIS
싯카, AK, 미국	스티카록키구티에레즈공항	SIT
새너제이, CA, 미국	Norman Y. Mineta San José Intl	SJC
새너제이, CA, 미국	새너제이국제공항	SJC
산호세델카보, 멕시코	Los Cabos	SJD
산호세델카보, 멕시코	Cabo San Lucas	SJD
산호세델카보, 멕시코	로스카보스 국제공항	SJD
산호세 델 과비아레, 콜롬비아	Jorge E. Gonzalez T.	SJE
산호세 델 과비아레, 콜롬비아	호르헤 엔리케 곤살레스 토레스 에어포트	SJE
산 호세, 필리핀	Mcguire Fld	SJI
산 호세, 필리핀	산호세 에어포트	SJI
사라예보, BIH	사라예보국제공항	SJJ
사라예보, 보스니아헤르체고비나	Butmir	SJJ
사라예보, 보스니아헤르체고비나	Sarajevo Intl	SJJ
사라예보, 보스니아헤르체고비나	사라예보국제공항	SJJ
상 주제 두스 캄포스, 브라질	São José dos Campos	SJK
상 주제 두스 캄포스, 브라질	상조제두스캄푸스 리저널 에어포트	SJK
상 가브리엘 다 카초에이라, 브라질	Da Cachoeira	SJL
상 가브리엘 다 카초에이라, 브라질	São Gabriel da Cachoeira	SJL
상 가브리엘 다 카초에이라, 브라질	상가브리에우 다 카쇼에이라 에어포트	SJL
상 가브리엘 다 카초에이라, 브라질	Uaupés	SJL
산호세, 코스타리카	Juan Santamaria Intl	SJO
산호세, 코스타리카	후안산타마리아국제공항	SJO
사오호세 도리오 프레토, 브라질	사오호세도리오프레토공항	SJP
샌앤젤로, TX, 미국	Mathis Field	SJT
샌앤젤로, TX, 미국	산안젤로지역공항	SJT
산후안, 푸에르토리코	Isla Verde Intl	SJU
산후안, 푸에르토리코	Luis Munoz Marin Intl	SJU
산후안, 푸에르토리코	루이스무뇨스마린국제공항	SJU
Shijiazhuang, China	Daguocun	SJW
스자좡, 중국	Daguocun	SJW
스자좡, 중국	시쟈주앙다구오쿤국제공항	SJW
Velas, Portugal	Sao Jorge Island	SJZ
벨라스, 포르투갈	상 조르즈 아일랜드 에어포트	SJZ
바스테르, KNA	로버트 L. 브래드쇼 국제공항	SKB
바스테르, 세인트키츠네비스	로버트 L. 브래드쇼 국제공항	SKB
사마르칸트, 우즈베키스탄	사마르칸드국제공항	SKD
테살로니키, 그리스	Makedonia Apt.	SKG
테살로니키, 그리스	테살로니키국제공항	SKG
Shaktoolik, AK, 미국	섀크툴리크 에어포트	SKK
스톡마크네스, 노르웨이	Skagen	SKN
스톡마크네스, 노르웨이	스토크마르크네스 에어포트 스카겐	SKN
Sokoto, 나이지리아	사디크 아부바카 III 인터내셔널 에어포트	SKO
Sokoto, 나이지리아	Sadiq Abubakar III	SKO
스코페, MKD	스코페 알렉산드로스 대왕 공항	SKP
스코페, 북마케도니아	Skopje	SKP
스코페, 북마케도니아	스코페 알렉산드로스 대왕 공항	SKP
시알콧, 파키스탄	Sialkot	SKT
시알콧, 파키스탄	시알코트 국제공항	SKT
스키로스, 그리스	Skiros	SKU
스키로스, 그리스	스카이로스섬 국제공항	SKU
사란스크, 러시아	사란스크공항	SKX
수쿠르, 파키스탄	수쿠르 에어포트	SKZ
수쿠르, 파키스탄	Sukkur	SKZ
살타, 아르헨티나	마르틴 미겔 구에메스 국제공항	SLA
Salt Lake City, Utah	Salt Lake City	SLC
솔트레이크시티, UT, 미국	Salt Lake City	SLC
솔트레이크시티, UT, 미국	솔트레이크시티국제공항	SLC
Sola, 바누아투	바누아 라바 에어포트	SLH
솔웨지, 잠비아	솔웨지 에어포트	SLI
새러낵 레이크, NY, 미국	Adirondack	SLK
새러낵 레이크, NY, 미국	아디론닥지역공항	SLK
살랄라, OMN	살랄라 국제공항	SLL
살랄라, 오만	살랄라 국제공항	SLL
살라망카, 스페인	살라망카-마타칸 에어포트	SLM
살리나, KS, 미국	설라이나공항	SLN
산루이스포토시, 멕시코	San Luis Potosi	SLP
산루이스포토시, 멕시코	폰시아노 아리아가 국제공항	SLP
Sleetmute, AK, 미국	슬리트무트 에어포트	SLQ
캐스트리스, Saint Lucia	조지 F. L. 찰스 에어포트	SLU
캐스트리스, 세인트루시아	조지 F. L. 찰스 에어포트	SLU
심라, 인도	시믈라공항	SLV
살틸로, 멕시코	Ramos Arizpe	SLW
살틸로, 멕시코	플란 데 과달루페 국제공항	SLW
Balfour Town, TCA	Salt Cay	SLX
Balfour Town, 터크스 케이커스 제도	Salt Cay	SLX
살레하르트, 러시아	살레하르트 에어포트	SLY
상루이스, 브라질	Mal. Cunha Machado	SLZ
상루이스, 브라질	마레샤우 쿠냐 마샤두 국제공항	SLZ
빌라도 포르토, 포르투갈	산타마리아공항	SMA
새크라멘토, 캘리포니아주, 미국	Sacramento Intl	SMF
새크라멘토, 캘리포니아주, 미국	새크라멘토국제공항	SMF
Samos, 그리스	사모스 국제공항	SMI
Saint Michael, AK, 미국	세인트 마이클 에어포트	SMK
산타 모니카, CA, 미국	샌타모니카 뮤니시플 에어포트	SMO
Sampit, 인도네시아	삼핏 에어포트	SMQ
산타마르타, 콜롬비아	Simon Bolivar	SMR
산타마르타, 콜롬비아	시몬 볼리바르 국제공항	SMR
Ile Sainte-Marie, Madagascar	Sainte Marie	SMS
Nosy Boraha, Madagascar	Sainte Marie	SMS
일레 사인테 마리에, 마다가스카르	생 메리 에어포트	SMS
소리소, 브라질	Adolinao Bedin	SMT
소리소, 브라질	Sorriso	SMT
산타마리아, CA, 미국	Public	SMX
산타마리아, CA, 미국	산타마리아 리퍼블릭 에어포트	SMX
Santa Ana, CA	J. Wayne/Orange Cnty	SNA
산타아나, CA, 미국	J. Wayne/Orange Cnty	SNA
산타아나, CA, 미국	Orange County	SNA
산타아나, CA, 미국	존웨인공항	SNA
살리나스, 에콰도르	제너럴 울피아노 파에스 에어포트	SNC
Sao Nicolau, 카보베르데	프레기사 에어포트	SNE
섀넌, IRL	샤넌 국제공항	SNN
섀넌, 아일랜드	샤넌 국제공항	SNN
사콘나콘, 태국	Sakon Nakhon	SNO
사콘나콘, 태국	사꼰 나콘 에어포트	SNO
Saint Paul Island, AK, 미국	세인트 폴 아일랜드 에어포트	SNP
생 나제르, 프랑스	Montoir	SNR
생 나제르, 프랑스	생나자르몽투아공항	SNR
Santa Clara, 쿠바	Santa Clara	SNU
산드웨, 미얀마	탄드웨 에어포트	SNW
산드웨, 미얀마	Thandwe	SNW
Saarmelleek, 헝가리	Flybalaton	SOB
Saarmelleek, 헝가리	플라이벌러톤 에어포트	SOB
Solo, Indonesia	Adi Sumarmo	SOC
Surakarta City, Indonesia	Adi Sumarmo	SOC
수라카르타, 인도네시아	Adi Sumarmo	SOC
수라카르타, 인도네시아	아디수마르모국제공항	SOC
소피아, 불가리아	소피아 국제공항	SOF
송달, 노르웨이	Haukasen	SOG
송달, 노르웨이	손달 공항	SOG
Soerkjosen, Norway	Sorkjosen	SOJ
쇠르쇼센, 노르웨이	쇠르쇼센 에어포트	SOJ
쇠르쇼센, 노르웨이	Sorkjosen	SOJ
Luganville, VUT	산토페코아국제공항	SON
Luganville, 바누아투	Espiritu Santo	SON
Luganville, 바누아투	산토페코아국제공항	SON
Luganville, 바누아투	Santo-Pekoa Intl	SON
소데르함, 스웨덴	Soderhamn	SOO
소데르함, 스웨덴	소데르함 에어포트	SOO
Sorong, Indonesia	Jefman	SOQ
소롱, 인도네시아	Jefman	SOQ
소롱, 인도네시아	소롱공항	SOQ
사우샘프턴, 영국	Eastleigh	SOU
사우샘프턴, 영국	사우샘프턴공항	SOU
쇼로, AZ, 미국	Show Low	SOW
쇼로, AZ, 미국	쇼 로우 리저널 에어포트	SOW
Stronsay, 영국	스트론세이 에어포트	SOY
세인트토머스섬, 미국령 버진아일랜드	SPB	SPB
Santa Cruz de la Palma, Spain	La Palma	SPC
산타크루즈데라팔마, 스페인	팔마 공항	SPC
Saidpur, 방글라데시	사이드푸르 에어포트	SPD
Springfield, IL	Capital	SPI
스프링필드, IL, 미국	애브라함 링컨 캐피틀 공항	SPI
Sapporo, Japan	All airports	SPK
삿포로, 일본	모든 공항	SPK
I Fadang, Northern Mariana Islands	Saipan Intl	SPN
I 파당, 북마리아나제도	Saipan Intl	SPN
I 파당, 북마리아나제도	사이판국제공항	SPN
Menongue, 앙골라	메농게 에어포트	SPP
Ambergris Caye, Belize	San Pedro	SPR
산페드로, 벨리즈	산 페드로 에어포트	SPR
위치토폴스, TX, 미국	Metropolitan Area	SPS
위치토폴스, TX, 미국	위치토폴스공항	SPS
위치토폴스, TX, 미국	Wichita Falls Municipal	SPS
스플리트, 크로아티아	Split	SPU
스플리트, 크로아티아	스플리트공항	SPU
상페드로, Ivory Coast	산페드로 에어포트	SPY
상페드로, 코트디부아르	산페드로 에어포트	SPY
Sintang, 인도네시아	신탕 에어포트	SQG
수크레, 볼리비아	Sucre	SRE
Semarang, Indonesia	Achmad Yani	SRG
세마랑, 인도네시아	Achmad Yani	SRG
세마랑, 인도네시아	아크마드야니국제공항	SRG
세마랑, 인도네시아	Achmad Uani	SRG
사마린다, 인도네시아	Samarinda	SRI
사마린다, 인도네시아	트민둥 에어포트	SRI
스토르트, 노르웨이	스토르 에어포트 소르스토켄	SRP
새러소타, FL, 미국	Sarasota Bradenton Intl	SRQ
새러소타, FL, 미국	새러소타-브레이든턴 국제공항	SRQ
Stony River, AK, 미국	Stony River	SRV
Sari, 이란	Dashte Naz	SRY
사우바도르, 브라질	Salvador-Deputado Luís Eduardo Magalhães Intl	SSA
사우바도르, 브라질	Dois de Julho Intl	SSA
사우바도르, 브라질	Luis E. Magalhaes	SSA
사우바도르, 브라질	데푸타도 루이스 에두라르두 마갈량이스 국제공항	SSA
크리스천스테드, 미국령 버진아일랜드	Sea Plane Base	SSB
말라보, Equatorial Guinea	말라보 국제공항	SSG
말라보, GNQ	말라보 국제공항	SSG
말라보, 적도기니	Santa Isabel	SSG
말라보, 적도기니	말라보 국제공항	SSG
Nabq, Egypt	Ophira	SSH
샤름 엘 셰이크, Egypt	샤름 엘-셰이크 국제공항	SSH
샤름 엘 셰이크, 이집트	Ophira	SSH
샤름 엘 셰이크, 이집트	샤름 엘-셰이크 국제공항	SSH
산네스조엔, 노르웨이	산네셰엔 에어포트 스토카	SSJ
Sault Ste. Marie, MI	All airports	SSM
Slt Ste Marie, MI	All airports	SSM
수 세인트 마리, MI, 미국	모든 공항	SSM
Sara, 바누아투	Sara	SSR
세인트클라우드, MN, 미국	Saint Cloud	STC
세인트클라우드, MN, 미국	세인트클라우드 리저널공항	STC
Saint George Island, AK, 미국	세인트 조지 에어포트	STG
Santiago de los Caballeros, Dominican Republic	Santiago	STI
산티아고 데 로스 카바예로스, 도미니카공화국	Cibao Intl	STI
산티아고 데 로스 카바예로스, 도미니카공화국	시바오 국제공항	STI
Saint Louis, MO	Lambert-St Louis	STL
세인트루이스, MO, 미국	Lambert Field	STL
세인트루이스, MO, 미국	Lambert-St Louis	STL
세인트루이스, MO, 미국	램버트세이트루이스국제공항	STL
산타렘, 브라질	Eduardo Gomes Intl	STM
산타렘, 브라질	Maestro Wilson Fonseca	STM
산타렘, 브라질	에두아르도고메스공항	STM
런던, 영국	Stansted	STN
런던, 영국	스탠스테드공항	STN
스톡홀름, 스웨덴	모든 공항	STO
슈투트가르트, 독일	Echterdingen	STR
슈투트가르트, 독일	슈투트가르트공항	STR
슈투트가르트, 독일	Stuttgart	STR
산타로사, CA, 미국	Sonoma County	STS
산타로사, CA, 미국	소노마카운티공항	STS
Saint Thomas Island, U.S. Virgin Islands	Cyril E King	STT
세인트토머스섬, 미국령 버진아일랜드	Cyril E King	STT
세인트토머스섬, 미국령 버진아일랜드	시릴 E. 킹 공항	STT
수라트, 인도	수라트공항	STV
스타브로폴, 러시아	Stavropol	STW
스타브로폴, 러시아	스타브로폴 슈파콥스코예 에어포트	STW
Christiansted, U.S. Virgin Islands	Henry Rohlsen	STX
크리스천스테드, 미국령 버진아일랜드	St Croix Island	STX
크리스천스테드, 미국령 버진아일랜드	Henry Rohlsen	STX
크리스천스테드, 미국령 버진아일랜드	헨리 E. 롤센 공항	STX
Surabaya, Indonesia	Juanda	SUB
수라바야, 인도네시아	Juanda	SUB
수라바야, 인도네시아	주안다 국제공항	SUB
라메지아 테르메, 이탈리아	S Eufemia	SUF
라메지아 테르메, 이탈리아	라메지아테르메 국제공항	SUF
수리가오, 필리핀	수리가오 에어포트	SUG
사투 마레, 루마니아	Satu Mare	SUJ
사투 마레, 루마니아	사투마레 인터내셔널 에어포트	SUJ
Batagay-Alyta, 러시아	삼척공항	SUK
헤일리, ID, 미국	Sun Valley-Friedman	SUN
헤일리, ID, 미국	프리드먼 메모리얼 에어포트	SUN
Sumbawanga, 탄자니아	Sumbawanga	SUT
수바, Fiji	나우소리 국제공항	SUV
수바, FJI	나우소리 국제공항	SUV
수바, 피지	Luvuluvu	SUV
수바, 피지	Nausori	SUV
수바, 피지	나우소리 국제공항	SUV
수시티, IA, 미국	Sioux Gateway	SUX
